"Phase","Doc","Code","Build","Runtime","Overall","Evidence"
"1","PASS","PASS","SKIP","PASS","PASS","doc: | 1     | 2026-04-08 | First DX12 triangle ??device wiring, depth buffer, MVP CB, DXC/SM6 | || code: LunaEngine\src\LunaEngine\Shaders\constantbuffer.vert.hlsl:1"
"2A","PASS","PASS","SKIP","PASS","PASS","doc: | 2A    | 2026-04-09 | Frames-in-flight ring buffer ??eliminates per-frame GPU stall | || code: LunaEngine\src\LunaEngine\Renderer\DX12\public\DX12Backend.h:123"
"2B","PASS","PASS","SKIP","PASS","PASS","doc: | 2B    | 2026-04-09 | DXC / SM 6.x ??replaced FXC with IDxcCompiler3; SM 6.0 shaders | || code: LunaEngine\src\LunaEngine\Renderer\DX12\private\DX12Pipeline.cpp:8"
"2C","PASS","PASS","SKIP","PASS","PASS","doc: | 2C    | 2026-04-09 | D3D12MA + DEFAULT heap ??vertex buffer moved off UPLOAD heap | || code: LunaEngine\src\LunaEngine\Renderer\DX12\public\DX12Backend.h:78"
"3A","PASS","PASS","SKIP","PASS","PASS","doc: | 3A    | 2026-04-10 | Orbital camera ??left-drag yaw/pitch, scroll zoom, GLFW callbacks | || code: LunaEngine\src\LunaEngine\Renderer\Camera.h:9"
"3B","PASS","PASS","SKIP","PASS","PASS","doc: | 3B    | 2026-04-10 | cgltf glTF loader ??PBRVertex interleave, D3D12MA staging upload | || code: LunaEngine\src\LunaEngine\Renderer\MeshLoader.cpp:4"
"3C","PASS","PASS","SKIP","PASS","PASS","doc: | 3C    | 2026-04-10 | Cook-Torrance PBR ??GGX D, Smith-Schlick G, Schlick F; normal map TBN | || code: LunaEngine\src\LunaEngine\Shaders\deferred_lighting.frag.hlsl:2"
"3D","PASS","PASS","SKIP","PASS","PASS","doc: | 3D    | 2026-04-10 | Texture loading ??stb_image ??RGBA8 Texture2D ??SRV heap | || code: LunaEngine\src\LunaEngine\Graphics\Texture.cpp:31"
"4A","PASS","PASS","SKIP","PASS","PASS","doc: | 4A    | 2026-04-11 | DXR capability check ??graceful degradation to raster-only | || code: LunaEngine\src\LunaEngine\Renderer\DX12\private\DX12Device.cpp:93"
"4B","PASS","PASS","SKIP","PASS","PASS","doc: | 4B    | 2026-04-11 | BLAS / TLAS ??per-mesh BLASes, single scene TLAS | || code: LunaEngine\src\LunaEngine\Renderer\DX12\private\DX12AccelStructure.cpp:60"
"4C","PASS","PASS","SKIP","PASS","PASS","doc: | 4C    | 2026-04-11 | DXR pipeline ??RTPSO, shader table, shadows.hlsl (SM 6.5) | || code: LunaEngine\src\LunaEngine\Renderer\DX12\private\DX12RTPipeline.cpp:121"
"4D","PASS","PASS","SKIP","PASS","PASS","doc: | 4D    | 2026-04-11 | DXR hybrid shadow integration ??depth SRV ??DispatchRays ??shadow UAV | || code: LunaEngine\src\LunaEngine\Renderer\DX12\private\DX12Backend.cpp:1299"
"5","PASS","PASS","SKIP","PASS","PASS","doc: | 5     | 2026-04-12 | Vulkan parity ??production frame loop replacing ImGui demo helper | || code: LunaEngine\src\LunaEngine\Renderer\Vulkan\Private\VulkanBackend.cpp:169"
"5A","PASS","PASS","SKIP","PASS","PASS","doc: | 5A    | 2026-04-13 | API correctness ??VSync, ALT+ENTER, adapter name, namespace cleanup | || code: LunaEngine\src\LunaEngine\Renderer\Vulkan\Public\VulkanBackend.h:32"
"5B","PASS","PASS","SKIP","PASS","PASS","doc: | 5B    | 2026-04-13 | Full PBR material pipeline ??RootSignatureLayout::PBR, Material GPU struct | || code: LunaEngine\src\LunaEngine\Graphics\Material.h:14"
"5C","PASS","PASS","SKIP","PASS","PASS","doc: | 5C    | 2026-04-15 | Vulkan per-frame SceneUBO ??eyePos/lightDir/lightColor split from static MatUBO into per-frame set=0 binding=1; camera-driven specular now correct | || code: LunaEngine\src\LunaEngine\Renderer\Vulkan\Public\VulkanBackend.h:168"
"6","PASS","PASS","SKIP","PASS","PASS","doc: | 6     | 2026-04-13 | Render graph ??data-driven barrier scheduling replaces hardcoded DrawFrame | || code: LunaEngine\src\LunaEngine\Renderer\RenderGraph.h:16"
"7","PASS","PASS","SKIP","PASS","PASS","doc: | 7     | 2026-04-13 | Deferred rendering ??G-buffer (albedo/normal/metalRough) + deferred lighting pass; DXR shadows now affect final pixel colour | || code: LunaEngine\src\LunaEngine\Shaders\gbuffer.frag.hlsl:46"
"8","PASS","PASS","SKIP","PASS","PASS","doc: | 8     | 2026-04-14 | Cascaded Shadow Maps (CSM) ??4-cascade 2048횞2048 directional shadow; replaces DXR shadow mask at t4; 5-tap PCF; practical split scheme | || code: LunaEngine\src\LunaEngine\Shaders\csm_depth.vert.hlsl:26"
"9","PASS","PASS","SKIP","PASS","PASS","doc: | 9     | 2026-04-16 | SSAO ??half-res R8_UNORM raw pass (16-tap hemisphere kernel, view-space TBN, 4횞4 noise jitter) + 3횞3 box-blur pass; blurred result wired to t5 in deferred lighting (bilinear upscale); DX12 root signatures SSAO + SSAOBlur; resize-safe; ambient term multiplied by AO factor | || code: LunaEngine\src\LunaEngine\Shaders\ssao.frag.hlsl:1"
"10","PASS","PASS","SKIP","PASS","PASS","doc: | 10    | 2026-04-16 | Post-process stack ??R16G16B16A16_FLOAT HDR buffer; TAA (Halton(2,3) jitter on P._31/P._32, depth-based reprojection, YCoCg 3횞3 neighbourhood clamp, 64-frame Halton sequence, 8-frame warm-up); bloom (bright-pass soft-knee threshold, separable 5-tap Gaussian H+V, R11G11B10_FLOAT half-res, ping-pong); ACES filmic tone mapping + gamma 2.2; resize-safe; graceful fallback to Phase 9 LDR path on init failure | || code: LunaEngine\src\LunaEngine\Shaders\taa.frag.hlsl:1"
"11","PASS","PASS","SKIP","PASS","PASS","doc: | 11    | 2026-04-16 | Bindless textures ??single `Texture2D[] : register(t0, space1)` unbounded heap table; material SRV base index pushed as 1-DWORD root constant (b2); eliminates per-draw `SetGraphicsRootDescriptorTable` pointer switch; `srvTableStart` on CPU Material struct unchanged (still 3 consecutive slots); root sig bumped to 4 params | ??Done | || code: LunaEngine\src\LunaEngine\Shaders\gbuffer.frag.hlsl:2"
"12","PASS","PASS","SKIP","PASS","PASS","doc: | 12    | 2026-04-16 | GPU-driven rendering ??merged VB+IB; GPUObjectData SSBO (model, bounding sphere, mesh/material index); GPU frustum cull compute (64 threads/group, 6-plane sphere test, atomic append); ExecuteIndirect with ID3D12CommandSignature (DrawIndexed + 2 root constants: materialIndex + objectIndex); pbr_indirect.vert.hlsl reads model from StructuredBuffer; DX12-only; graceful fallback to Phase 11 per-draw path | || code: LunaEngine\src\LunaEngine\Renderer\DX12\public\DX12Backend.h:396 || code: LunaEngine\src\LunaEngine\Shaders\gpu_cull.comp.hlsl:54"
"13","PASS","PASS","SKIP","PASS","PASS","doc: | 13    | 2026-04-16 | Async compute ??GPU frustum cull dispatch on dedicated D3D12_COMMAND_LIST_TYPE_COMPUTE queue; per-frame compute allocators + command list; cross-queue ID3D12Fence sync (compute Signal ??graphics Wait before ExecuteIndirect); overlaps with CSM/DXR shadow passes; graceful fallback to graphics-queue dispatch | || code: LunaEngine\src\LunaEngine\Renderer\DX12\public\DX12Backend.h:157"
"14","FAIL","PASS","SKIP","PASS","FAIL","code: LunaEngine\src\LunaEngine\Renderer\RenderGraph.h:16"
